id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
2005,"Ice Cream & Desserts","Veeba Truly Tomato Ketchup",99,20,6,79,500,FALSE,500
2006,"Ice Cream & Desserts","Ching's Secret Green Chilli Sauce",85,4,1,81,680,FALSE,680
2007,"Ice Cream & Desserts","MTR Roasted Vermicelli ",55,0,1,55,400,FALSE,400
2008,"Ice Cream & Desserts","Mother's Recipe Punjabi Teekha Mang Pickle",120,10,4,108,400,FALSE,400
2009,"Ice Cream & Desserts","Ching's Secret Hot Garlic Instant Noodles",114,0,6,114,480,FALSE,480
2010,"Ice Cream & Desserts","Kellogg's Real Honey Corn Flakes",290,7,5,267,630,FALSE,630
2011,"Ice Cream & Desserts","ITC Master Chef Lebanese Falafel Kebab",130,4,4,124,230,FALSE,230
2012,"Ice Cream & Desserts","Kelloggs Chocos Fills Double Chocolaty",185,10,5,165,250,FALSE,250
2013,"Ice Cream & Desserts","Organic India Apple Cider Vinegar",595,9,2,536,500,FALSE,500
2014,"Ice Cream & Desserts","Masala Oats Masala & Coriander ",195,9,5,176,500,FALSE,500
2015,"Ice Cream & Desserts","Ching's Secret  Noodles - Pad Thai Lemongras",200,0,5,200,130,FALSE,130
2016,"Ice Cream & Desserts","Bagrrys Fruit and Nut Muesli with Cranberries",499,0,5,499,750,FALSE,750
2017,"Ice Cream & Desserts","Kitchens Of India Yellow Dal Tadka",110,30,6,77,285,FALSE,285
2018,"Ice Cream & Desserts","Soulfull Vanilla Fills - Ragi Bites",169,5,6,160,250,FALSE,250
2019,"Ice Cream & Desserts","Pantai Teriyaki Sauce with Garlic",325,15,6,276,200,FALSE,200
2020,"Ice Cream & Desserts","Whiskas Adult Pocket Tuna Cat Food",410,0,1,410,1200,FALSE,1
2021,"Ice Cream & Desserts","Kitchens Of India Chicken Darbari ",200,30,4,140,285,FALSE,285
2022,"Ice Cream & Desserts","Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits",299,10,6,269,400,FALSE,400
2023,"Ice Cream & Desserts","Smith & Jones Red Pasta Sauce Mix",40,0,6,40,46,FALSE,46
2024,"Ice Cream & Desserts","Kellogg's Muesli Nuts Delight",425,9,3,383,750,FALSE,750
2025,"Ice Cream & Desserts","Kitchens of India Dal Bukhara Gravy Mix",110,30,6,77,285,FALSE,285
2026,"Ice Cream & Desserts","The Whole Truth Peanut Butter - Sweetened & Crunchy",215,20,6,172,325,FALSE,325
2027,"Ice Cream & Desserts","Remia Mayonnaise",230,0,6,230,241,FALSE,241
2028,"Ice Cream & Desserts","Ching's Secret Green Chilli Sauce",105,0,6,105,425,FALSE,425
2029,"Ice Cream & Desserts","Bagrrys Fruit N Fibre Muesli - Strawberry",595,0,1,595,1000,FALSE,1
2030,"Ice Cream & Desserts","Ching's Secret Tomato Oats Instant Soup",15,0,3,15,20,FALSE,20
2031,"Ice Cream & Desserts","Kellogg's Special K Original Corn Flakes",140,5,1,133,290,FALSE,290
2032,"Ice Cream & Desserts","Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade",280,50,5,140,175,FALSE,175
2033,"Ice Cream & Desserts","Tong Garden Wasabi Green Peas",175,4,6,167,150,FALSE,150
2034,"Ice Cream & Desserts","Ching's Secret Red Chilli Sauce",105,0,4,105,440,FALSE,440
2035,"Ice Cream & Desserts","Ching's Instant Hot and Sour Soup",55,0,5,55,55,FALSE,55
2036,"Ice Cream & Desserts","Ching's Secret Noodles - Pad Thai Original",200,0,6,200,130,FALSE,130
2037,"Ice Cream & Desserts","Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets",55,30,5,38,80,FALSE,80
2038,"Ice Cream & Desserts","Del Monte Black Sliced Olives",250,0,1,250,450,FALSE,450
2039,"Ice Cream & Desserts","Kitchens Of India Murgh Methi",220,30,5,154,285,FALSE,285
2040,"Ice Cream & Desserts","Nestle Cerelac 5 Grains & Fruits Cereal",288,0,6,288,300,FALSE,300
2041,"Ice Cream & Desserts","The Whole Truth - 5 Grain Muesli No Added Sugar",325,20,6,260,350,FALSE,350
2042,"Ice Cream & Desserts","Ching's Secret  Pad Thai Noodles Green Curry",200,0,6,200,130,FALSE,130
2043,"Ice Cream & Desserts","Aashirvaad Suji Halwa With Jaggery",75,0,6,75,70,FALSE,70
2044,"Ice Cream & Desserts","Mother's Recipe Mango Pickle ",120,0,1,120,400,FALSE,400
2045,"Ice Cream & Desserts","Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli",200,0,6,200,130,FALSE,130
2046,"Ice Cream & Desserts","Kellogg's Special K Original Corn Flakes",399,11,6,355,900,FALSE,900
2047,"Ice Cream & Desserts","Knorr Sweet Corn Chicken Soup",55,0,2,55,42,FALSE,42
2048,"Ice Cream & Desserts","Ching's Secret Tomato Soup",55,0,6,55,55,FALSE,55
2049,"Ice Cream & Desserts","Funfoods Peanut Butter Creamy",169,0,1,169,400,FALSE,400
2050,"Ice Cream & Desserts","Japanese Choice Udon Noodles",295,9,6,266,250,FALSE,250
2051,"Ice Cream & Desserts","Kelloggs Muesli - With 22% Fruit Magic",320,10,5,288,500,FALSE,500
2052,"Ice Cream & Desserts","Dabur Hommade - Kalonji Tamatar Ki Chutney",65,6,6,61,200,FALSE,200
2053,"Ice Cream & Desserts","Kitchens Of India Dal Makhani",110,30,1,77,285,FALSE,285
2054,"Ice Cream & Desserts","Aashirvaad Suji Halwa With Jaggery",55,30,6,38,80,FALSE,80
2055,"Ice Cream & Desserts","Del Monte Green Chili Sauce",55,0,3,55,190,FALSE,190
2056,"Ice Cream & Desserts","Pedigree Dog Food Adult Chicken & Veg",660,10,1,594,3000,FALSE,3
2057,"Ice Cream & Desserts","Kellogg's Original Corn Flakes",185,5,6,175,475,FALSE,475
2058,"Ice Cream & Desserts","Pedigree Puppy Dry Dog Food Food Chicken & Milk",690,6,2,648,3000,FALSE,3
2059,"Ice Cream & Desserts","Kitchens Of India Rajma Masala",110,30,5,77,285,FALSE,285
2060,"Ice Cream & Desserts","Kitchen Of India Ready-To-Eat Pindi Channa",110,30,2,77,285,FALSE,285
2061,"Ice Cream & Desserts","Figaro Pitted Black Olive ",179,0,6,179,450,FALSE,450
2062,"Ice Cream & Desserts","Cantina Tabasco Red Sauce",140,15,6,119,60,FALSE,60
2063,"Ice Cream & Desserts","Mother's Recipe Pickle - Mixed",149,26,6,109,500,FALSE,500
2064,"Ice Cream & Desserts","Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month",279,0,5,279,300,FALSE,300
